Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Treatment,Seedling Height,# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes
LL,9,4/22/24,4,82,Acorn,DT,NA,NA,0,NA,
LL,9,4/22/24,4,81,Seedling,DT,5.5,4,NA,NA,
LL,10,4/22/24,4,80,Acorn,DT,NA,NA,1,NA,
LL,10,4/22/24,4,78,Acorn,AC,NA,NA,0,NA,
LL,10,4/22/24,4,76,Acorn,AC,NA,NA,0,NA,
LL,10,4/22/24,4,75,Seedling,AC,7,8,NA,NA,
LL,10,4/22/24,4,77,Acorn,AC,NA,NA,0,NA,
LL,10,4/22/24,4,73,Seedling,AC,14,9,NA,NA,very round leaves
LL,10,4/22/24,4,74,Seedling,AC,5,5,NA,NA,
LL,11,4/22/24,5,115,Seedling,AC,15,7,NA,NA,
LL,11,4/22/24,5,120,Acorn,AC,NA,NA,0,NA,
LL,11,4/22/24,5,118,Acorn,AC,NA,NA,0,NA,
LL,11,4/22/24,5,119,Acorn,AC,NA,NA,1,NA,
LL,11,4/22/24,5,117,Seedling,AC,12,6,NA,NA,should be another seedling germination
LL,11,4/22/24,5,116,Seedling,AC,16,14,NA,NA,cone fell w/o removal
LL,11,4/22/24,5,114,Acorn,OA,NA,NA,0,NA,
LL,11,4/22/24,5,109,Seedling,OA,13.5,11,NA,NA,
LL,11,4/22/24,5,111,Seedling,OA,9.5,7,NA,NA,
LL,11,4/22/24,5,113,Acorn,OA,NA,NA,0,NA,
LL,11,4/22/24,5,112,Acorn,OA,NA,NA,0,NA,
LL,12,4/22/24,5,110,Seedling,OA,11,9,NA,NA,
LL,12,4/22/24,5,103,Acorn,DT,NA,NA,0,NA,
LL,12,4/22/24,5,108,Seedling,DT,17,13,NA,NA,
LL,12,4/22/24,5,104,Seedling,DT,23,8,NA,NA,
LL,12,4/22/24,5,107,Acorn,DT,NA,NA,0,NA,
LL,12,4/22/24,5,105,Acorn,DT,NA,NA,0,NA,
LL,12,4/22/24,5,106,Seedling,DT,21,30,NA,NA,2 branches
LL,12,4/22/24,5,102,Acorn,SA,NA,NA,1,Missing,
LL,12,4/22/24,5,101,Acorn,SA,NA,NA,0,Missing,
LL,12,4/22/24,5,98,Seedling,SA,8.5,7,NA,Yes,
LL,12,4/22/24,5,100,Acorn,SA,NA,NA,0,Yes,
LL,12,4/22/24,5,99,Seedling,SA,6.5,7,NA,Yes,
LL,12,4/22/24,5,97,Seedling,SA,23,23,NA,Yes,
LL,13,4/23/24,6,126,Acorn,DT,NA,NA,0,NA,
LL,13,4/23/24,6,125,Seedling,DT,4,6,NA,NA,
LL,13,4/23/24,6,124,Acorn,DT,NA,NA,0,NA,
LL,13,4/23/24,6,123,Seedling,DT,7,9,NA,NA,
LL,13,4/23/24,6,122,Acorn,DT,NA,NA,0,NA,
LL,13,4/23/24,6,121,Seedling,DT,15,12,NA,NA,
LL,13,4/23/24,6,128,Acorn,OA,NA,NA,0,NA,
LL,13,4/23/24,6,127,Acorn,OA,NA,NA,2,NA,
LL,13,4/23/24,6,129,Acorn,OA,NA,NA,0,NA,
LL,13,4/23/24,6,130,Seedling,OA,18,14,NA,NA,
LL,13,4/23/24,6,131,Seedling,OA,10,18,NA,NA,
LL,14,4/23/24,6,132,Seedling,OA,7.5,9,NA,NA,
LL,14,4/23/24,6,133,Acorn,AC,NA,NA,0,NA,
LL,14,4/23/24,6,134,Acorn,AC,NA,NA,0,NA,
LL,14,4/23/24,6,135,Acorn,AC,NA,NA,0,NA,
LL,14,4/23/24,6,136,Seedling,AC,11.5,18,NA,NA,
LL,14,4/23/24,6,137,Seedling,AC,8.0,6,NA,NA,
LL,14,4/23/24,6,138,Seedling,AC,3.5,5,NA,NA,
LL,15,4/23/24,6,143,Seedling,SA,24.0,10.0,NA,Yes,
LL,15,4/23/24,6,144,Seedling,SA,17,18,NA,Yes,
LL,15,4/23/24,6,142,Seedling,SA,9,7,NA,Yes,
LL,15,4/23/24,6,141,Acorn,SA,NA,NA,0,Yes,but one potentially germinating
LL,15,4/23/24,6,140,Acorn,SA,NA,NA,0,Yes,
LL,15,4/23/24,6,139,Acorn,SA,NA,NA,1,Yes,
LL,17,4/23/24,7,158,Acorn,AC,NA,NA,0,NA,
LL,17,4/23/24,7,159,Acorn,AC,NA,NA,3,NA,
LL,17,4/23/24,7,157,Acorn,AC,NA,NA,0,NA,
LL,17,4/23/24,7,160,Seedling,AC,15,10,NA,NA,
LL,17,4/23/24,7,161,Seedling,AC,9,4,NA,NA,
LL,17,4/23/24,7,162,Seedling,AC,8.5,10,NA,NA,
LL,17,4/23/24,7,153,Acorn,OA,NA,NA,0,NA,
LL,17,4/23/24,7,152,Acorn,OA,NA,NA,1,NA,
LL,17,4/23/24,7,151,Acorn,OA,NA,NA,1,NA,
LL,17,4/23/24,7,155,Seedling,OA,19,12,NA,NA,
LL,17,4/23/24,7,154,Seedling,OA,13,16,NA,NA,
LL,18,4/23/24,7,156,Seedling,OA,15,29,NA,NA,
LL,18,4/23/24,7,163,Acorn,SA,NA,NA,0,Missing,
LL,18,4/23/24,7,164,Acorn,SA,NA,NA,0,Missing,
LL,18,4/23/24,7,165,Acorn,SA,NA,NA,0,Yes,
LL,18,4/23/24,7,166,Seedling,SA,7.5,4,NA,Yes,
LL,18,4/23/24,7,168,Seedling,SA,10.5,7,NA,Missing,
LL,18,4/23/24,7,167,Seedling,SA,13.5,4,NA,Missing,
LL,18,4/23/24,7,187,Acorn,SA,NA,NA,1,Yes,salvia very munched
LL,18,4/23/24,7,188,Acorn,SA,NA,NA,1,Yes,
LL,18,4/23/24,7,189,Seedling,SA,4.5,5,NA,Missing,
LL,18,4/23/24,7,190,Acorn,SA,NA,NA,2,Yes,
LL,18,4/23/24,7,191,Seedling,SA,5,6,NA,Yes,
LL,18,4/23/24,7,192,Seedling,SA,16.5,16,NA,Missing,
LL,19,4/23/24,7,150,Acorn,DT,NA,NA,0,NA,
LL,19,4/23/24,7,149,Seedling,DT,7,6,NA,NA,
