Page Number,Year Collected,Date Processed,Team,Bag ID,Jar Number,Total Sample Weight,Bag Weight,Organic Material,Rock Weight,Wet Soil Weight,Dry Soil Weight,Dry Coarse Sand Weight,% sand by weight,Initial Volume,Final Volume,Rock Volume,Soil Water Content,Soil Bulk Density,Volumteric Water Content,Soil Water-filled Pore Space,Soil Porosity,Soil Volume,Notes,
1,2025,4/15/25,MBM,1DT,1DT,188.46,1.9,0.82,15.55,170.19,148.08,94,63.47920043,128,134,6,0.1493111831,1.126854882,0.1682520356,29.272844,0.5747717428,131.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,4SA,4SA,155.7,2.69,0.63,6.54,145.84,128.73,65.09,50.56319428,110,112,2,0.1329138507,0.9506683406,0.1263569899,19.70457158,0.64125723,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,3OA,3OA,216.43,4.68,0.26,8.42,203.07,182.97,88.71,48.48335793,126,130,4,0.1098540744,1.371486395,0.1506633686,31.22828926,0.482457964,133.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,2OA,2OA,180.1,2.26,0.14,2.09,175.61,160.32,87.94,54.85279441,130,131,1,0.09537175649,1.175280405,0.1120885566,20.14177311,0.5564979605,136.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,3AC,3AC,163.55,2.37,0.41,5.94,154.83,134.12,87.27,65.06859529,102,106,4,0.1544139576,1.00532194,0.1552357394,25.01247627,0.6206332302,133.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,4OA,4OA,191.96,2.14,0,3.23,186.59,169.37,100.41,59.28440692,122,123,1,0.101670898,1.241624514,0.1262370794,23.75277501,0.5314624474,136.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,4AC,4AC,144.64,2.25,1.24,1.6,139.55,126.16,67.22,53.28154724,108,110,2,0.1061350666,0.9316889447,0.09888486818,15.25014344,0.6484192662,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,2SA,2SA,191.55,2.32,0.31,5.42,183.5,164.83,72.63,44.06358066,114,117,3,0.1132682157,1.226322446,0.1389033554,25.85514472,0.5372368127,134.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,2AC,2AC,109.69,2.24,6.34,2.78,98.33,87.76,36.87,42.01230629,126,128,2,0.1204421149,0.6481057529,0.07805922753,10.33306096,0.7554317914,135.41,,Matthew Bohn-Montes
1,2025,4/15/25,MBM,4DT,4DT,131.49,2.29,0.77,3.77,124.66,103.11,60.01,58.1999806,114,116,2,0.209000097,0.7614651798,0.1591462964,22.33147523,0.7126546491,135.41,,Matthew Bohn-Montes
